Date,SBIN,ICICIBANK
2023-01-30,538.200012,823.5
2023-01-31,553.5,831.900024
2023-02-01,527.349976,847.950012
2023-02-02,528.099976,857.900024
2023-02-03,544.200012,863.799988
2023-02-06,545.400024,853.700012
2023-02-07,547.099976,852.75
2023-02-08,549.75,859.099976
2023-02-09,550.799988,860.799988
2023-02-10,553.049988,853.849976
2023-02-13,537.5,850.650024
2023-02-14,540.849976,865.299988
2023-02-15,542.25,870.799988
2023-02-16,540.099976,869.450012
2023-02-17,531,862.650024
2023-02-20,525.150024,852.099976
2023-02-21,523.450012,854.200012
2023-02-22,516.349976,839.25
2023-02-23,521,839.75
2023-02-24,521.049988,839.700012
2023-02-27,527.700012,856.400024
2023-02-28,522.799988,854.849976
2023-03-01,536.700012,856.299988
2023-03-02,533.75,854
2023-03-03,561.200012,868.549988
2023-03-06,561.700012,867.75
2023-03-08,564.799988,872.099976
2023-03-09,558.900024,855.950012
2023-03-10,547.349976,842.650024
2023-03-13,530,828.400024
2023-03-14,525.400024,830.349976
2023-03-15,517.549988,825.900024
2023-03-16,524.5,823.900024
2023-03-17,529.799988,836.25
2023-03-20,519.200012,836.450012
2023-03-21,521.849976,852.400024
2023-03-22,521.549988,860.200012
2023-03-23,512.75,855.450012
2023-03-24,505.350006,852.400024
2023-03-27,510.149994,848.700012
2023-03-28,508.100006,854.75
2023-03-29,516.5,851
2023-03-31,523.75,877.25
2023-04-03,526.75,883.799988
2023-04-05,523,884.599976
2023-04-06,527.650024,875
2023-04-10,526.299988,868.450012
2023-04-11,532.099976,881.900024
2023-04-12,528.200012,890.150024
2023-04-13,532.950012,899
2023-04-17,544,901.299988
2023-04-18,545.849976,896.849976
2023-04-19,540.299988,891.900024
2023-04-20,544.799988,894.400024
2023-04-21,543.150024,885.650024
2023-04-24,554.599976,904.75
2023-04-25,561.799988,913.450012
2023-04-26,566.349976,914.950012
2023-04-27,564.75,918.349976
2023-04-28,578.299988,917.650024
